# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = covid19_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = covid19_model.data.R
# init = covid19_model.init.R
# random
#   seed = -1 (Default)
# output
#   file = sampling.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma,alpha0,beta,I0
# Adaptation terminated
# Step size = 0.215957
# Diagonal elements of inverse mass matrix:
# 0.0706014, 0.00454586, 0.0470025, 0.0148182
-230.833,0.856363,0.215957,3,15,0,233.2,0.212568,0.271189,0.0041681,294.566
-231.439,0.995484,0.215957,4,15,0,232.085,0.108283,0.271046,0.00351662,402.767
-232.905,0.993948,0.215957,3,7,0,233.489,0.0889723,0.276094,0.00319557,405.218
-231.095,0.990528,0.215957,4,31,0,234.08,0.214495,0.270409,0.00455809,284.148
-232.313,0.943394,0.215957,4,15,0,234.052,0.256779,0.247211,0.0035908,276.623
-229.565,0.99973,0.215957,5,31,0,232.62,0.135548,0.268727,0.0032288,310.771
-231.895,0.932264,0.215957,3,15,0,235.446,0.133217,0.249932,0.00275462,361.627
-229.125,0.999696,0.215957,4,15,0,232.903,0.13212,0.273393,0.00370316,327.893
-229.81,0.898987,0.215957,3,11,0,230.765,0.128649,0.275501,0.00370414,356.663
-230.155,0.975704,0.215957,2,3,0,230.478,0.117502,0.270358,0.00377833,348.534
-231.394,0.838712,0.215957,4,23,0,235.054,0.167645,0.267291,0.00331239,261.647
-230.718,0.994943,0.215957,4,31,0,233.756,0.110859,0.294901,0.00470517,361.291
-231.365,0.985648,0.215957,4,31,0,233.288,0.166724,0.294056,0.00551336,337.057
-229.189,0.999796,0.215957,3,15,0,231.954,0.128645,0.276894,0.00414656,346.23
-232.513,0.857811,0.215957,3,7,0,233.239,0.115754,0.286718,0.0033617,311.304
-230.13,1,0.215957,3,7,0,233.361,0.124732,0.26767,0.00321182,309.379
-231.104,0.992918,0.215957,3,7,0,231.76,0.137038,0.256272,0.00325061,369.649
-231.838,0.989318,0.215957,4,15,0,232.238,0.134988,0.255831,0.00337438,386.878
-230.277,0.988771,0.215957,4,23,0,232.761,0.138776,0.261446,0.0029625,292.011
-230.991,0.995269,0.215957,4,31,0,231.952,0.140991,0.29229,0.00519161,393.929
-229.791,0.986479,0.215957,4,15,0,232.509,0.115081,0.274095,0.00364777,359.908
-229.112,0.976794,0.215957,4,15,0,230.409,0.150685,0.265156,0.00369087,330.245
-229.68,0.892041,0.215957,3,11,0,232.273,0.171624,0.257673,0.00336355,292.897
-230.235,0.982973,0.215957,4,31,0,231.553,0.108097,0.274191,0.00363122,364.283
-233.802,0.695231,0.215957,3,11,0,235.418,0.147723,0.268507,0.00423442,291.106
-232.62,0.948443,0.215957,3,15,0,236.094,0.158581,0.287656,0.00426051,348.084
-231.347,1,0.215957,2,3,0,232.63,0.158994,0.285849,0.00438453,347.203
-230.524,0.984483,0.215957,4,27,0,231.711,0.163023,0.284412,0.00451156,341.652
-230.829,0.928679,0.215957,2,3,0,232.232,0.161636,0.28646,0.00441592,328.126
-232.641,0.96208,0.215957,2,3,0,233.41,0.141764,0.288556,0.00475843,294.024
-231.227,0.996633,0.215957,4,15,0,233.258,0.11968,0.268503,0.00409543,398.855
-230.047,0.856819,0.215957,4,31,0,233.66,0.119764,0.27063,0.00314168,331.012
-230.888,0.927168,0.215957,4,23,0,233.174,0.116552,0.281852,0.00381769,312.819
-230.437,0.869797,0.215957,3,11,0,234.696,0.122181,0.287486,0.00398534,328.815
-230.961,0.986493,0.215957,4,15,0,233.943,0.175225,0.285876,0.00482703,298.611
-230.137,0.99815,0.215957,4,15,0,231.832,0.154812,0.281611,0.00423933,296.158
-229.644,0.967012,0.215957,4,15,0,230.833,0.1331,0.267858,0.00373416,361.411
-230.163,0.906074,0.215957,3,7,0,230.674,0.130778,0.276498,0.00368049,356.616
